serial,year,month,day,local pressure,sea pressure,total preci,hr1 preci,min10 preci,avg temp,max temp,min temp,avg humid,min humid,sun hours,bloom
1826,1966,1,1,1009.4,1013.9,0.0,0.0,0.0,3.3,7.9,-1.2,39,20,9.0,0
1827,1966,1,2,1013.8,1018.3,0.0,0.0,0.0,4.2,9.4,-0.1,37,20,9.0,0
1828,1966,1,3,1017.6,1022.1,0.0,0.0,0.0,5.5,10.7,-0.4,42,24,8.3,0
1829,1966,1,4,998.4,1002.7,22.5,9.5,2.0,3.9,7.0,2.3,74,52,0.0,0
1830,1966,1,5,995.9,1000.2,0.0,0.0,0.0,7.3,12.4,1.9,45,26,9.0,0
1831,1966,1,6,1005.3,1009.7,0.0,0.0,0.0,5.9,11.4,0.4,48,28,8.3,0
1832,1966,1,7,1001.9,1006.3,0.0,0.0,0.0,7.6,15.5,1.2,50,27,7.8,0
1833,1966,1,8,1006.6,1011.0,0.0,0.0,0.0,4.8,10.6,0.6,47,34,8.5,0
1834,1966,1,9,1014.7,1019.1,0.0,0.0,0.0,4.3,9.1,0.9,37,28,8.9,0
1835,1966,1,10,1017.2,1021.7,0.1,0.1,0.1,3.8,8.0,-1.1,55,39,1.0,0
1836,1966,1,11,1005.1,1009.4,0.0,0.0,0.0,8.3,16.5,2.2,52,28,6.7,0
1837,1966,1,12,1016.0,1020.4,0.0,0.0,0.0,6.1,8.2,3.5,49,40,0.1,0
1838,1966,1,13,1011.0,1015.4,1.0,1.0,0.5,4.9,6.6,2.7,75,60,0.0,0
1839,1966,1,14,1004.9,1009.3,0.0,0.0,0.0,5.7,8.2,1.7,45,31,4.8,0
1840,1966,1,15,1010.1,1014.5,0.0,0.0,0.0,5.1,10.8,-0.5,48,27,8.7,0
1841,1966,1,16,1011.7,1016.2,0.0,0.0,0.0,5.9,10.4,0.3,54,32,6.1,0
1842,1966,1,17,1006.4,1010.8,0.0,0.0,0.0,8.1,17.2,0.9,50,24,8.3,0
1843,1966,1,18,1008.9,1013.3,0.0,0.0,0.0,5.2,7.2,1.9,41,34,0.0,0
1844,1966,1,19,1004.4,1008.8,0.0,0.0,0.0,3.7,9.8,-0.9,34,16,8.4,0
1845,1966,1,20,1010.9,1015.4,0.0,0.0,0.0,1.5,5.7,-1.9,32,22,9.6,0
1846,1966,1,21,1015.1,1019.7,0.0,0.0,0.0,2.3,7.4,-2.9,41,20,7.7,0
1847,1966,1,22,1018.4,1023.0,0.0,0.0,0.0,2.8,7.5,-2.3,45,17,8.7,0
1848,1966,1,23,1019.0,1023.5,0.0,0.0,0.0,1.9,5.8,-2.8,47,30,0.7,0
1849,1966,1,24,1019.9,1024.5,0.0,0.0,0.0,1.8,5.4,-2.0,43,19,9.7,0
1850,1966,1,25,1020.8,1025.4,0.0,0.0,0.0,1.1,5.0,-2.7,47,38,1.1,0
1851,1966,1,26,1007.3,1011.7,0.0,0.0,0.0,6.7,12.0,1.6,38,26,8.7,0
1852,1966,1,27,1008.0,1012.4,0.0,0.0,0.0,3.6,6.2,0.7,36,25,6.2,0
1853,1966,1,28,1011.6,1016.1,0.0,0.0,0.0,2.8,5.8,-1.3,38,31,7.7,0
1854,1966,1,29,1006.5,1010.9,0.0,0.0,0.0,4.2,10.1,-2.0,51,32,9.1,0
1855,1966,1,30,1009.9,1014.3,0.0,0.0,0.0,5.6,9.2,1.5,45,32,7.8,0
1856,1966,1,31,1011.7,1016.1,0.0,0.0,0.0,6.2,10.9,2.0,56,44,5.9,0
1857,1966,2,1,1008.2,1012.6,0.0,0.0,0.0,6.9,11.8,1.8,55,35,7.8,0
1858,1966,2,2,1008.7,1013.1,0.0,0.0,0.0,8.0,12.3,2.7,62,53,2.5,0
1859,1966,2,3,1001.8,1006.1,0.0,0.0,0.0,12.1,19.1,6.0,62,42,6.4,0
